id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_banjir,satuan,tahun
189,32,JAWA BARAT,3279,KOTA BANJAR,0,KEJADIAN,2018
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,10,KEJADIAN,2019
191,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,10,KEJADIAN,2019
192,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3,KEJADIAN,2019
193,32,JAWA BARAT,3204,KABUPATEN BANDUNG,18,KEJADIAN,2019
194,32,JAWA BARAT,3205,KABUPATEN GARUT,21,KEJADIAN,2019
195,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3,KEJADIAN,2019
196,32,JAWA BARAT,3207,KABUPATEN CIAMIS,5,KEJADIAN,2019
197,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,8,KEJADIAN,2019
198,32,JAWA BARAT,3209,KABUPATEN CIREBON,9,KEJADIAN,2019
199,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2,KEJADIAN,2019
200,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,16,KEJADIAN,2019
201,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,2,KEJADIAN,2019
202,32,JAWA BARAT,3213,KABUPATEN SUBANG,2,KEJADIAN,2019
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,KEJADIAN,2019
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,6,KEJADIAN,2019
205,32,JAWA BARAT,3216,KABUPATEN BEKASI,7,KEJADIAN,2019
206,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1,KEJADIAN,2019
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,KEJADIAN,2019
208,32,JAWA BARAT,3271,KOTA BOGOR,11,KEJADIAN,2019
209,32,JAWA BARAT,3272,KOTA SUKABUMI,0,KEJADIAN,2019
210,32,JAWA BARAT,3273,KOTA BANDUNG,8,KEJADIAN,2019
211,32,JAWA BARAT,3274,KOTA CIREBON,2,KEJADIAN,2019
212,32,JAWA BARAT,3275,KOTA BEKASI,4,KEJADIAN,2019
213,32,JAWA BARAT,3276,KOTA DEPOK,2,KEJADIAN,2019
214,32,JAWA BARAT,3277,KOTA CIMAHI,6,KEJADIAN,2019
215,32,JAWA BARAT,3278,KOTA TASIKMALAYA,6,KEJADIAN,2019
216,32,JAWA BARAT,3279,KOTA BANJAR,0,KEJADIAN,2019
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,43,KEJADIAN,2020
218,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,13,KEJADIAN,2020
219,32,JAWA BARAT,3203,KABUPATEN CIANJUR,4,KEJADIAN,2020
220,32,JAWA BARAT,3204,KABUPATEN BANDUNG,19,KEJADIAN,2020
221,32,JAWA BARAT,3205,KABUPATEN GARUT,15,KEJADIAN,2020
222,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,6,KEJADIAN,2020
223,32,JAWA BARAT,3207,KABUPATEN CIAMIS,12,KEJADIAN,2020
224,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,4,KEJADIAN,2020
225,32,JAWA BARAT,3209,KABUPATEN CIREBON,30,KEJADIAN,2020
226,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,13,KEJADIAN,2020
227,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,21,KEJADIAN,2020
228,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,5,KEJADIAN,2020
229,32,JAWA BARAT,3213,KABUPATEN SUBANG,7,KEJADIAN,2020
230,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,5,KEJADIAN,2020
231,32,JAWA BARAT,3215,KABUPATEN KARAWANG,8,KEJADIAN,2020
232,32,JAWA BARAT,3216,KABUPATEN BEKASI,16,KEJADIAN,2020
233,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,3,KEJADIAN,2020
234,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,10,KEJADIAN,2020
235,32,JAWA BARAT,3271,KOTA BOGOR,10,KEJADIAN,2020
236,32,JAWA BARAT,3272,KOTA SUKABUMI,0,KEJADIAN,2020
237,32,JAWA BARAT,3273,KOTA BANDUNG,8,KEJADIAN,2020
238,32,JAWA BARAT,3274,KOTA CIREBON,4,KEJADIAN,2020
239,32,JAWA BARAT,3275,KOTA BEKASI,5,KEJADIAN,2020
240,32,JAWA BARAT,3276,KOTA DEPOK,5,KEJADIAN,2020
241,32,JAWA BARAT,3277,KOTA CIMAHI,13,KEJADIAN,2020
242,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,KEJADIAN,2020
243,32,JAWA BARAT,3279,KOTA BANJAR,1,KEJADIAN,2020
244,32,JAWA BARAT,3201,KABUPATEN BOGOR,75,KEJADIAN,2021
245,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,27,KEJADIAN,2021
246,32,JAWA BARAT,3203,KABUPATEN CIANJUR,8,KEJADIAN,2021
247,32,JAWA BARAT,3204,KABUPATEN BANDUNG,50,KEJADIAN,2021
248,32,JAWA BARAT,3205,KABUPATEN GARUT,14,KEJADIAN,2021
249,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1,KEJADIAN,2021
250,32,JAWA BARAT,3207,KABUPATEN CIAMIS,12,KEJADIAN,2021
251,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,4,KEJADIAN,2021
252,32,JAWA BARAT,3209,KABUPATEN CIREBON,9,KEJADIAN,2021
253,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,9,KEJADIAN,2021
254,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,14,KEJADIAN,2021
255,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,10,KEJADIAN,2021
